grade,subject,standard_code,topic,core_explanation_priority,practice_goal,assessment_goal,enrichment_resources_priority,notes
3,Mathematics,3.NF.A.1,Fractions as numbers and unit fractions,High,">=20 visual/number-line items","1 quiz + exit tickets",Medium,"Emphasize fraction models before symbols."
3,Mathematics,3.OA.A.3,Multiplication and division word problems within 100,High,">=25 mixed contexts","1 quiz + performance task",Medium,"Include equal groups arrays and unknown position cases."
4,Mathematics,4.NF.B.3,Add and subtract fractions with like denominators,High,">=20 procedural + word problems","1 quiz",Medium,"Use visual fraction models early then symbolic."
4,Mathematics,4.NBT.B.4,Multi-digit addition and subtraction fluency,Medium,">=20 timed + error-analysis sets","1 quiz",Low,"Include regrouping edge cases."
5,Mathematics,5.NF.B.4,Multiplying fractions by fractions and whole numbers,High,">=25 with area models and contexts","1 quiz + exit tickets",Medium,"Stress area models before algorithm."
5,Mathematics,5.NBT.B.7,Decimal operations to hundredths,High,">=30 mixed operations and word problems","1 quiz + mini-assessment",Medium,"Blend estimation and exact computation."
6,Mathematics,6.RP.A.3,Ratio and rate reasoning in real contexts,High,">=30 table/graph/unit-rate items","1 quiz + project",High,"Prioritize unit rate and proportional tables."
6,Mathematics,6.EE.B.7,Solving one-step equations and inequalities,High,">=25 solve-and-interpret items","1 quiz",Medium,"Include positive and negative coefficients."
7,Mathematics,7.RP.A.2,Proportional relationships and slope connections,High,">=30 table/graph/equation conversions","1 quiz + performance task",High,"Link to slope and constant of proportionality."
7,Mathematics,7.EE.B.4a,Two-step equations and inequalities in context,High,">=25 varied problem types","1 quiz",Medium,"Include distributive property and negative numbers."
8,Mathematics,8.EE.C.8,Systems of linear equations (solve and interpret),High,">=30 substitution/elimination/graph items","1 quiz + short project",High,"Balance symbolic methods and graphical interpretations."
8,Mathematics,8.G.B.6,Pythagorean Theorem and applications,High,">=25 including coordinate plane distance","1 quiz",Medium,"Include converse and connection to distance formula."
3,ELA,RL.3.1,Asking and answering text-dependent questions,High,"10 short constructed responses","1 passage-based quiz",Medium,"Model quoting and paraphrasing explicitly."
3,ELA,W.3.1,Opinion writing with reasons,High,"3 prompts with planning + drafting","1 rubric-scored task",Medium,"Provide graphic organizers and exemplar sentences."
4,ELA,RI.4.5,Identifying text structures in informational texts,High,"12 practice sets across structures","1 quiz",Medium,"Use mixed science/social studies topics."
4,ELA,W.4.2,Informative/explanatory writing,High,"3 multi-paragraph prompts","1 rubric-scored task",Medium,"Include planning and revision checkpoints."
5,ELA,RL.5.2,Determining theme and summarizing,High,"12 practice sets","1 quiz",Medium,"Pair literary passages with myths/fables."
5,ELA,W.5.1,Opinion/argument essays with supporting points,High,"3 prompts with evidence checklists","1 rubric-scored task",Medium,"Teach claim-reason-evidence explicitly."
6,ELA,RL.6.1,Citing textual evidence precisely,High,"14 practice items","1 quiz",Medium,"Model quote integration and explain inference steps."
6,ELA,W.6.1,Argument writing (claims and evidence),High,"3 prompts","1 rubric-scored task",High,"Embed counterclaims and rebuttal sentences."
7,ELA,RI.7.8,Evaluating arguments and evidence quality,High,"14 practice items with strong/weak evidence","1 quiz",Medium,"Include common fallacies and weak-source examples."
7,ELA,W.7.1,Argument writing with logical organization,High,"3 prompts","1 rubric-scored task",High,"Stress thesis clarity and paragraph structure."
8,ELA,RI.8.8,Delineating and evaluating arguments and claims,High,"14 practice items","1 quiz",Medium,"Focus on tracing claims to supporting evidence."
8,ELA,W.8.1,Argument writing with counterclaims and rebuttal,High,"3 prompts","1 rubric-scored task",High,"Require explicit counter-argument and rebuttal paragraphs."
6,Science,MS-ESS2-2,Earth surface processes and change,High,"12 interpretive items","1 quiz",Medium,"Use maps cross-sections and time-scale comparisons."
6,Science,MS-ESS1-2,Gravity and motion in the solar system,Medium,"10 model-based items","1 quiz",Medium,"Emphasize diagramming planetary motion models."
7,Science,MS-LS2-3,Cycling of matter and energy in ecosystems,High,"12 data/model items","1 quiz",Medium,"Include food webs decomposition and conservation of matter."
7,Science,MS-LS3-2,Genes proteins and trait effects,Medium,"10 analysis items","1 quiz",Medium,"Use simple pedigrees and mutation scenarios."
8,Science,MS-PS1-2,Evidence of chemical reactions via properties,High,"12 lab-style items","1 quiz",Medium,"Highlight reactants products and conservation of mass qualitatively."
8,Science,MS-PS2-2,Forces motion and net force relationships,High,"12 calculation/graph items","1 quiz",Medium,"Link net force mass acceleration and direction."
8,Science,MS-ETS1-2,Evaluating engineering design solutions,Medium,"8 items + 1 design critique","1 project-style assessment",Medium,"Apply criteria and constraints consistently."
