subject,skill_tag,description
Mathematics,number_sense_operations,"Whole numbers place value and operations fluency (3-5 emphasis)."
Mathematics,fractions_decimals,"Fractions and decimals equivalence, operations, and models."
Mathematics,ratios_proportions,"Ratios, rates, unit rates, and proportional relationships."
Mathematics,expressions_equations,"Expressions, one- and two-step equations/inequalities, simple systems."
Mathematics,geometry_measurement,"Shapes, area/volume, coordinate geometry, and transformations."
Mathematics,statistics_probability,"Data displays, center/variability, and probability models."
Mathematics,functions_linear,"Functions, slope, and linear relationships (grade 8 focus)."
ELA,reading_literature,"Comprehend and analyze literary texts: theme, character, structure."
ELA,reading_informational,"Main idea, text structure, evidence in informational texts."
ELA,evidence_reasoning,"Citing evidence and explaining reasoning across texts."
ELA,argument_writing,"Claims, reasons, evidence, and counterclaims."
ELA,informative_writing,"Informative/explanatory organization and clarity."
ELA,narrative_writing,"Narrative structure, description, sequencing."
ELA,vocabulary_language,"Word meaning, morphology, and academic vocabulary."
ELA,speaking_listening,"Discussion, presentation, and active listening skills."
Science,earth_space_systems,"Earth systems, geoscience processes, and space systems."
Science,matter_interactions,"Properties of matter and evidence of chemical reactions."
Science,forces_motion,"Forces, motion, and Newtonian relationships."
Science,ecosystems_energy_matter,"Ecosystem interactions and cycling of matter/energy."
Science,genetics_evolution,"Genes, heredity, and natural selection/adaptation."
Science,engineering_design,"Problem definition, solution criteria, and iteration."
