framework,subject,grade_band,strand,code,description
CCSS-ELA,English Language Arts,3,Reading Literature,RL.3.1,Ask and answer questions to demonstrate understanding of a text referring explicitly to the text as the basis for answers.
CCSS-ELA,English Language Arts,3,Reading Literature,RL.3.2,"Recount stories and determine the central message, lesson, or moral explaining how it is conveyed through key details."
CCSS-ELA,English Language Arts,3,Reading Informational Text,RI.3.2,Determine the main idea of a text and recount key details; explain how they support the main idea.
CCSS-ELA,English Language Arts,3,Writing,W.3.1,Write opinion pieces on topics or texts supporting a point of view with reasons.
CCSS-ELA,English Language Arts,3,Writing,W.3.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
CCSS-ELA,English Language Arts,3,Writing,W.3.3,Write narratives to develop real or imagined experiences using effective technique descriptive details and clear event sequences.
CCSS-ELA,English Language Arts,3,Speaking and Listening,SL.3.1,Engage effectively in collaborative discussions on grade 3 topics and texts building on others' ideas and expressing their own clearly.
CCSS-ELA,English Language Arts,3,Language,L.3.4,Determine or clarify the meaning of unknown and multiple-meaning words using context and word analysis.
CCSS-ELA,English Language Arts,4,Reading Literature,RL.4.1,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences.
CCSS-ELA,English Language Arts,4,Reading Literature,RL.4.2,Determine a theme of a story drama or poem and summarize the text.
CCSS-ELA,English Language Arts,4,Reading Informational Text,RI.4.5,Describe the overall structure of events ideas concepts or information in a text or part of a text.
CCSS-ELA,English Language Arts,4,Reading Informational Text,RI.4.8,Explain how an author uses reasons and evidence to support particular points.
CCSS-ELA,English Language Arts,4,Writing,W.4.1,Write opinion pieces on topics or texts supporting a point of view with reasons and information.
CCSS-ELA,English Language Arts,4,Writing,W.4.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
CCSS-ELA,English Language Arts,4,Writing,W.4.3,Write narratives to develop real or imagined experiences using effective technique descriptive details and clear event sequences.
CCSS-ELA,English Language Arts,4,Speaking and Listening,SL.4.4,Report on a topic or text in an organized manner using appropriate facts and relevant details.
CCSS-ELA,English Language Arts,4,Language,L.4.4,Determine or clarify the meaning of unknown and multiple-meaning words using context clues affixes and roots.
CCSS-ELA,English Language Arts,5,Reading Literature,RL.5.1,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences.
CCSS-ELA,English Language Arts,5,Reading Literature,RL.5.2,Determine a theme of a story drama or poem from details in the text including how characters respond to challenges; summarize the text.
CCSS-ELA,English Language Arts,5,Reading Informational Text,RI.5.5,Compare and contrast the overall structure of events ideas concepts or information in two or more texts.
CCSS-ELA,English Language Arts,5,Reading Informational Text,RI.5.8,Explain how an author uses reasons and evidence to support particular points and identify which reasons support which points.
CCSS-ELA,English Language Arts,5,Writing,W.5.1,Write opinion pieces on topics or texts supporting a point of view with reasons and information.
CCSS-ELA,English Language Arts,5,Writing,W.5.2,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
CCSS-ELA,English Language Arts,5,Writing,W.5.3,Write narratives to develop real or imagined experiences using effective technique descriptive details and clear event sequences.
CCSS-ELA,English Language Arts,5,Speaking and Listening,SL.5.1,Engage effectively in a range of collaborative discussions on grade 5 topics and texts building on others' ideas and expressing their own clearly.
CCSS-ELA,English Language Arts,5,Language,L.5.4,Determine or clarify the meaning of unknown and multiple-meaning words using context clues affixes roots and reference materials.
CCSS-ELA,English Language Arts,6,Reading Literature,RL.6.1,Cite textual evidence to support analysis of what the text says explicitly and inferences drawn from the text.
CCSS-ELA,English Language Arts,6,Reading Literature,RL.6.2,Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary distinct from personal opinions.
CCSS-ELA,English Language Arts,6,Reading Informational Text,RI.6.3,Analyze how a key individual event or idea is introduced illustrated and elaborated in a text.
CCSS-ELA,English Language Arts,6,Reading Informational Text,RI.6.5,Analyze how a particular sentence paragraph or section fits into the overall structure of a text and contributes to the development of ideas.
CCSS-ELA,English Language Arts,6,Writing,W.6.1,Write arguments to support claims with clear reasons and relevant evidence.
CCSS-ELA,English Language Arts,6,Writing,W.6.2,Write informative/explanatory texts to examine a topic and convey ideas concepts and information through selection organization and analysis.
CCSS-ELA,English Language Arts,6,Speaking and Listening,SL.6.1,Engage effectively in collaborative discussions on grade 6 topics texts and issues building on others' ideas and expressing their own clearly.
CCSS-ELA,English Language Arts,6,Language,L.6.4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases using context and word analysis.
CCSS-ELA,English Language Arts,7,Reading Literature,RL.7.1,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS-ELA,English Language Arts,7,Reading Literature,RL.7.2,Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary.
CCSS-ELA,English Language Arts,7,Reading Informational Text,RI.7.8,Trace and evaluate the argument and specific claims in a text assessing whether the reasoning is sound and the evidence is relevant and sufficient.
CCSS-ELA,English Language Arts,7,Writing,W.7.1,Write arguments to support claims with clear reasons and relevant evidence.
CCSS-ELA,English Language Arts,7,Writing,W.7.3,Write narratives to develop real or imagined experiences using effective technique relevant descriptive details and well-structured event sequences.
CCSS-ELA,English Language Arts,7,Speaking and Listening,SL.7.1,Engage effectively in a range of collaborative discussions on grade 7 topics texts and issues building on others' ideas and expressing their own clearly.
CCSS-ELA,English Language Arts,7,Language,L.7.4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases using context and word analysis.
CCSS-ELA,English Language Arts,8,Reading Literature,RL.8.1,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS-ELA,English Language Arts,8,Reading Literature,RL.8.2,Determine a theme or central idea of a text and analyze its development including its relationship to characters setting and plot; provide an objective summary.
CCSS-ELA,English Language Arts,8,Reading Informational Text,RI.8.5,Analyze in detail the structure of a specific paragraph in a text including the role of particular sentences in developing and refining a key concept.
CCSS-ELA,English Language Arts,8,Reading Informational Text,RI.8.8,Delineate and evaluate the argument and specific claims in a text assessing whether the reasoning is sound and the evidence is relevant and sufficient.
CCSS-ELA,English Language Arts,8,Writing,W.8.1,Write arguments to support claims with clear reasons and relevant evidence.
CCSS-ELA,English Language Arts,8,Writing,W.8.2,Write informative/explanatory texts to examine a topic and convey ideas concepts and information through selection organization and analysis.
CCSS-ELA,English Language Arts,8,Speaking and Listening,SL.8.4,Present claims and findings in a focused coherent manner using relevant evidence and appropriate multimedia components.
CCSS-ELA,English Language Arts,8,Language,L.8.4,Determine or clarify the meaning of unknown and multiple-meaning words or phrases using context clues word patterns and reference materials.
